pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
ISO-Oph 176,,2016,,,,19068.0,2800.0,,,,,945,1
ISO-Oph 200,,2001,,,,6356.0,,,,,,945,1
ISOY J0535-0447 b,ISOY J0535-0447,2012,3.905625,0.0465,,15890.0,,6128.0,2.235,1.16,395.489,1,1
ISOY J0535-0526 b,ISOY J0535-0526,2020,,,,6769.14,,3360.0,,0.12,,1,1
ITG 15 b,ITG 15,1999,,435.0,,6673.8,2601.0,,,0.17,139.6,2,1
ITG 25 b,ITG 25,1999,,592.0,,5720.400000000001,,,,0.19,137.36,1,1
IX Draconis b,IX Draconis,2004,0.06646,0.00288,,7786.1,,,0.1,0.7,430.0,1,1
J03443214+3206524,,2024,,,,1747.9,1450.0,,,,,945,1
J03443777+3208289,,2024,,,,1112.3,1450.0,,,,,945,1
J03444496+3208375,,2024,,,,1747.9,1450.0,,,,,945,1
J0404+1112 b,J0404+1112,2025,0.122294,,,7945.0,1500.0,25000.0,0.0193,0.27,395.0,1,1
J041546.22+280811.4,,2025,,,,1906.8000000000002,,,,,,945,1
J042705.86+261520.3,,2025,,,,1430.1000000000001,,,,,,945,1
J042705.86+261520.3 b,,2025,,18.0,,1239.42,,,,,,945,1
J0438,,1999,,,,15890.0,2838.0,,,,,945,1
JH 112 Ab,JH 112 A,2011,,220.0,,3178.0,,4020.0,1.89,0.82,164.0,1,1
JH 223 b,JH 223,2007,,300.0,,15890.0,,3630.0,1.36,0.5,139.39,1,1
JuMBO 29 b,JuMBO 29,2023,,135.0,,12712.0,,,,0.1,390.0,1,1
JW 121 b,JW 121,2020,,153.6,,19354.02,,3715.0,1.93,0.8,387.33,1,1
JW 215 b,JW 215,2020,,74.67,,10392.060000000001,,2863.0,1.22,0.09,393.3,1,1
JW 592 b,JW 592,2020,,289.7,,13334.888,,3554.0,1.24,0.65,425.8,1,1
JW 734 b,JW 734,2020,,353.0,,1525.44,,2857.0,1.18,0.1,457.4,1,1
JW 783 b,JW 783,2020,,131.8,,15445.080000000002,,3238.0,1.27,0.25,338.4,1,1
JW 801 b,JW 801,2020,,666.2,,8030.8060000000005,,3239.0,1.9,0.25,418.6,1,1
JW 859 b,JW 859,2020,,178.1,,14103.964000000002,,3084.0,1.21,0.14,468.7,1,1
JW 901 b,JW 901,2020,,184.8,,9089.08,,3308.0,1.93,0.34,420.0,1,1
K2-100 b,K2-100,2016,1.673833,0.0296,3.58688,,1748.0,6168.0,1.22,1.23,190.04,1,1
K2-101 b,K2-101,2016,14.677286,,1.995202,,,4819.0,0.73,0.8,189.33,1,1
K2-102 Ab,K2-102 A,2016,9.915615,,1.300244,,,4695.0,0.71,0.77,189.17,1,1
K2-103 b,EPIC 211822797,2016,21.169861,0.131,1.983993,,,4148.21,0.57,0.66,187.19,1,1
K2-104 b,K2-104,2016,1.974238,0.023,1.9615749999999998,,,3546.46,0.49,0.43,190.21,1,1
K2-105 b,K2-105,2017,8.2669721,0.078,3.14502122,4.989459999999999,878.0,5400.0,0.887,0.925,199.28,2,1
K2-105 c,K2-105,2026,5.02173,0.0559,,,1037.0,5400.0,0.887,0.925,199.28,2,1
K2-106 b,K2-106,2016,0.5713127,0.01314,1.6759696799999997,7.7861,2299.0,5617.0,0.98,0.97,246.1,2,1
K2-106 c,K2-106,2016,13.339079,0.1091,2.8403606,5.7204,741.0,5617.0,0.98,0.97,246.1,2,1
K2-107 b,K2-107,2017,3.313959,0.0475,15.984034,266.952,1649.0,6061.0,1.81,1.3,696.95,1,1
K2-108 b,K2-108,2017,4.733999,0.0581,5.335483999999999,59.4286,1360.0,5599.0,1.76,1.17,484.99,1,1
KMT-2016-BLG-1820 b,,2018,,1.08,,1452.3460000000002,,,,,,945,1
K2-10 b,K2-10,2015,19.3044,,3.844687,26.99711,,5533.0,0.968,0.973,272.36,1,1
K2-110 b,K2-110,2017,13.86387,0.1027,2.555652,16.6845,575.0,4950.0,0.71,0.75,116.84,1,1
K2-111 b,K2-111,2017,5.3518,0.057,1.815858,5.288192,1309.0,5775.0,1.25,0.84,201.7,2,1
K2-111 c,K2-111,2020,15.6805,0.1157,,,,5775.0,1.25,0.84,201.7,2,1
K2-113 b,K2-113,2017,5.817685,0.0642,12.139346999999999,406.78400000000005,1098.0,5660.0,1.24,1.04,649.75,1,1
K2-114 b,K2-114,2017,11.391013,0.0954,10.670967999999998,587.9300000000001,661.0,5044.0,0.84,0.89,484.8,1,1
K2-115 b,K2-115,2017,20.273034,0.1367,12.498035,266.952,,5657.0,0.88,0.95,418.58,1,1
K2-116 b,K2-116,2017,4.655411,0.048,0.694958,,,4348.35,0.67,0.69,49.46,1,1
K2-117 b,K2-117,2017,1.2916,0.0189,2.028829,,868.0,3778.0,0.51,0.54,101.95,2,1
K2-117 c,K2-117,2017,5.444017,0.0492,2.062456,,537.0,3778.0,0.51,0.54,101.95,2,1
K2-118 b,K2-118,2017,50.92092,0.245,2.544443,,,4726.29,0.73,0.76,324.7,1,1
K2-119 b,K2-119,2017,7.727283,0.0698,2.533234,,666.0,4740.0,0.71,0.76,369.66,1,1
MOA-2016-BLG-231,,2019,,,,6673.8,,,,,,945,1
K2-11 b,K2-11,2015,39.93767,0.2257,7.5548660000000005,,734.0,5257.0,0.85,0.9,332.46,1,1
K2-120 Ab,K2-120 A,2017,9.562742,0.078,2.006411,,,4349.9,0.67,0.69,287.156,1,1
K2-121 b,K2-121,2017,5.185761,0.0525,7.498821,,723.0,4551.0,0.68,0.72,170.37,1,1
K2-122 Ab,K2-122 A,2017,2.219282,0.0285,1.210572,,814.0,4009.0,0.59,0.63,72.0444,1,1
K2-123 b,K2-123,2017,30.951524,0.1649,2.757414,2828.42,338.0,4035.0,0.59,0.62,162.36,1,1
K2-124 b,K2-124,2017,6.413651,0.049,2.903131,10.487400000000001,442.0,3570.0,0.39,0.39,140.4,1,1
K2-125 b,K2-125,2017,21.750264,0.121,2.174546,,,3654.47,0.4,0.49,124.6,1,1
K2-126 b,K2-126,2017,7.385655,0.0656,1.9727839999999999,,601.0,4339.0,0.65,0.69,103.29,1,1
K2-127 b,K2-127,2017,3.588163,0.0411,8.373123,,809.0,4575.0,0.66,0.72,723.97,1,1
K2-128 b,K2-128,2017,5.675819,0.056,1.423543,,,4469.51,0.78,0.71,115.01,1,1
K2-129 b,K2-129,2017,8.239493,0.057,1.042437,,,3459.09,0.36,0.36,27.82,1,1
K2-12 b,K2-12,2015,8.28212,0.0802,2.3314719999999998,,1003.0,5675.0,1.12,0.93,329.36,1,1
K2-130 b,K2-130,2017,2.49412,0.032,1.255408,,,4356.47,0.74,0.7,118.41,1,1
K2-131 b,K2-131,2017,0.36931,0.0095,1.703768,,2062.0,5245.0,0.75,0.84,153.7,1,1
K2-132 b,K2-132,2017,9.1751,0.0916,14.5717,155.722,1586.0,4878.0,4.11,1.19,609.818,1,1
K2-133 b,K2-133,2017,3.07133,0.03194,1.3450799999999998,2.19282,,3655.0,0.46,0.46,75.2,4,1
K2-133 c,K2-133,2017,4.86784,0.04341,1.6028869999999997,3.1780000000000004,,3655.0,0.46,0.46,75.2,4,1
K2-133 d,K2-133,2017,11.02454,0.07487,2.006411,8.2628,,3655.0,0.46,0.46,75.2,4,1
K2-133 e,K2-133,2019,26.5841,0.1346,1.726186,,296.0,3655.0,0.46,0.46,75.2,4,1
K2-136 Ab,K2-136 A,2017,7.975292,,0.9863919999999999,,553.0,4500.0,0.677,0.742,59.2474,3,1
K2-136 Ac,K2-136 A,2017,17.307137,,2.91434,,425.0,4500.0,0.677,0.742,59.2474,3,1
K2-136 Ad,K2-136 A,2017,25.575065,,1.445961,,373.0,4500.0,0.677,0.742,59.2474,3,1
K2-137 b,K2-137,2017,0.179715,0.0058,0.8855109999999999,158.9,1471.0,3492.0,0.44,0.46,99.15,1,1
K2-138 b,K2-138,2017,2.35322,0.0338,1.56926,3.11444,1308.0,5378.0,0.86,0.93,183.0,6,1
K2-138 c,K2-138,2017,3.55987,0.04454,2.522025,6.292440000000001,1140.0,5378.0,0.86,0.93,183.0,6,1
K2-138 d,K2-138,2017,5.40478,0.05883,2.6565329999999996,7.91322,992.0,5378.0,0.86,0.93,183.0,6,1
K2-138 e,K2-138,2017,8.26144,0.07807,3.2954459999999997,12.99802,861.0,5378.0,0.86,0.93,183.0,6,1
K2-138 f,K2-138,2017,12.75759,0.1043,2.813459,1.5890000000000002,745.0,5378.0,0.86,0.93,183.0,6,1
K2-138 g,K2-138,2018,41.96797,0.231,3.0129791999999997,4.2903,518.0,5378.0,0.86,0.93,183.0,6,1
K2-139 Ab,K2-139 A,2017,28.380619,0.1796,9.112917,121.0818,524.0,5195.0,0.893,0.882,153.856,1,1
K2-13 b,K2-13,2015,39.91488,0.2114,1.8943210000000001,,511.0,5698.0,0.78,0.8,345.76,1,1
K2-140 b,K2-140,2017,6.56918,0.0687,12.251437,295.55400000000003,957.0,5705.0,0.99,1.0,341.6,1,1
Kepler-415 c,Kepler-415,2014,8.708,,2.8100962999999997,,,,0.64,0.67,538.39,2,1
K2-141 b,K2-141 ,2018,0.2803244,,1.513215,5.078444,2039.0,4599.0,0.681,0.708,61.0,2,1
K2-141 c,K2-141 ,2018,7.7485,,6.994416,7.398384,,4599.0,0.681,0.708,61.0,2,1
K2-146 b,K2-146,2018,2.6446,0.027,2.051247,5.771248,,3385.0,0.33,0.33,79.31,2,1
K2-146 c,K2-146,2019,4.00498,0.034,2.185755,7.493724,,3385.0,0.33,0.33,79.31,2,1
K2-170 b,K2-170,2018,7.576544,,1.423543,,,5748.0,0.98,0.96,397.26,2,1
K2-147 b,K2-147,2018,0.961917,0.0159,1.378707,,,3672.0,0.55,0.58,88.0,1,1
K2-148 Ab,K2-148 A,2018,4.38395,0.0454,1.3338709999999998,,,4081.0,0.6739,0.639,124.458,3,1
K2-148 Ac,K2-148 A,2018,6.9226,0.0616,1.726186,,,4081.0,0.6739,0.639,124.458,3,1
K2-148 Ad,K2-148 A,2018,9.7579,0.0774,1.6365139999999998,,,4081.0,0.6739,0.639,124.458,3,1
K2-149 b,K2-149,2018,11.332,0.083,1.6365139999999998,,,3745.0,0.57,0.59,118.0,1,1
K2-14 b,K2-14,2015,8.36802,0.0627,4.808661,,488.0,3789.0,0.45,0.47,367.72,1,1
K2-150 b,K2-150,2018,10.59357,0.0727,1.995202,,,3499.0,0.44,0.46,110.0,1,1
K2-151Bb,K2-151 B,2018,3.835476,0.0373,1.490797,,566.0,3659.0,0.458,0.455,69.48,1,1
K2-152 b,K2-152,2018,32.6479,0.1716,2.2866359999999997,,337.0,4044.0,0.61,0.63,108.7,1,1
K2-153 b,K2-153,2018,7.51574,0.0614,1.995202,2860.2000000000003,497.0,3845.0,0.53,0.55,143.6,1,1
K2-154 b,K2-154,2018,3.67626,0.0405,1.995202,,715.0,4097.0,0.63,0.65,129.8,2,1
K2-154 c,K2-154,2018,7.95486,0.0677,2.073665,,552.0,4097.0,0.63,0.65,129.8,2,1
K2-155 b,K2-155,2018,6.342,0.0562,1.804649,4.7034400000000005,708.0,4258.0,0.58,0.65,82.0,3,1
K2-155 c,K2-155,2018,13.85,0.0946,2.600488,6.514900000000001,583.0,4258.0,0.58,0.65,82.0,3,1
K2-155 d,K2-155,2018,40.718,0.1937,1.9055300000000002,4.89412,381.0,4258.0,0.58,0.65,82.0,3,1
K2-156 b,K2-156,2018,0.81314,0.0149,1.1545269999999999,,1347.0,4597.0,0.66,0.66,150.4,1,1
K2-157 b,K2-157,2018,0.3652575,0.00962,0.9350547799999999,1.140902,2432.0,5334.0,0.86,0.89,290.2,3,1
K2-157 c,K2-157,2025,25.942,0.165,,30.79482,587.0,5334.0,0.86,0.89,290.2,3,1
K2-157 d,K2-157,2025,66.5,0.309,,23.29474,429.1,5334.0,0.86,0.89,290.2,3,1
K2-158 b,K2-158,2018,10.06049,0.0887,2.6453239999999996,,794.0,5503.0,0.95,0.92,198.2,2,1
K2-158 c,K2-158,2018,5.90279,0.0622,1.277826,,948.0,5503.0,0.95,0.92,198.2,2,1
K2-159 b,K2-159,2018,12.42205,0.1013,2.264218,,684.0,5425.0,0.83,0.9,171.9,1,1
K2-15 b,K2-15,2015,11.8104,0.091,2.477189,,676.0,5131.0,0.68,0.72,501.03,1,1
K2-160 b,K2-160,2018,3.705871,,3.1833559999999994,,,5649.0,0.91,0.98,318.19,1,1
K2-161 b,K2-161,2018,9.283188,,6.120114,,,4972.0,2.57,0.99,941.09,1,1
K2-162 b,K2-162,2018,9.45889,0.0795,1.434752,,631.0,4842.0,0.69,0.75,125.1,1,1
K2-163 b,K2-163,2018,6.673117,,2.46598,,,4937.0,0.76,0.83,209.67,1,1
K2-164 b,K2-164,2018,17.355066,,3.2506099999999996,,,5791.0,2.2,1.18,379.64,1,1
K2-165 b,K2-165,2018,2.354992,,1.277826,,,5185.0,0.8,0.83,135.1,3,1
K2-165 c,K2-165,2018,4.382745,,1.558051,,,5185.0,0.8,0.83,135.1,3,1
K2-165 d,K2-165,2018,14.101361,,2.6453239999999996,,,5185.0,0.8,0.83,135.1,3,1
K2-166 b,K2-166,2018,8.52695,0.0858,2.185755,,1140.0,,,1.07,481.0,2,1
K2-166 c,K2-166,2019,3.80464,,1.221781,1906.8000000000002,,,,1.07,481.0,2,1
K2-167 b,K2-167,2018,9.9785275,,2.3404392,,,5908.0,1.83,1.02,81.08,1,1
K2-168 b,K2-168,2018,15.8523,0.0979,1.860694,,766.0,5502.7,0.83,0.88,245.56,2,1
K2-168 c,K2-168,2019,8.050722,0.06231,1.311453,,961.0,5502.7,0.83,0.88,245.56,2,1
K2-169 b,K2-169,2018,6.380803,,1.277826,,,5548.0,0.92,0.99,237.35,1,1
K2-16 b,K2-16,2015,7.6188,0.0667,2.01762,,658.0,4761.0,0.66,0.67,338.19,3,1
K2-16 c,K2-16,2015,19.07863,0.1229,2.544443,,485.0,4761.0,0.66,0.67,338.19,3,1
K2-16 d,K2-16,2019,2.71578,,1.031228,,,4761.0,0.66,0.67,338.19,3,1
K2-170 c,K2-170,2018,12.400047,,1.804649,,,5748.0,0.98,0.96,397.26,2,1
K2-171 b,K2-171,2018,5.628466,,2.6901599999999997,,,5250.0,1.72,0.89,616.41,1,1
K2-172 b,K2-172,2018,14.316941,,1.6701409999999999,,,5569.0,0.87,0.93,251.51,2,1
K2-172 c,K2-172,2018,29.62682,,3.2057739999999995,,,5569.0,0.87,0.93,251.51,2,1
K2-173 Ab,K2-173 A,2018,5.868699,,1.6028869999999997,,,5573.35,1.0,0.983,228.641,1,1
K2-174 b,K2-174,2018,19.562307,0.126,2.600488,2733.08,455.0,4455.0,0.68,0.7,100.1,1,1
K2-175 Ab,K2-175 A,2018,9.525988,,2.040038,,,5929.25,1.673,1.081,249.01,1,1
K2-176 Ab,K2-176 A,2018,5.329439,,1.490797,,,5377.81,1.0,0.932,247.3,1,1
K2-177 b,K2-177,2018,14.155185,,2.1185009999999997,,,6063.0,1.21,1.21,499.02,1,1
K2-178 b,K2-178,2018,8.747818,,3.5532529999999998,,,5525.0,0.89,0.95,216.08,1,1
K2-179 b,K2-179,2018,5.172191,,2.510816,,,5015.0,0.77,0.82,191.84,1,1
K2-17 b,K2-17,2015,17.96753,0.119,2.230591,,487.0,4320.0,0.66,0.71,125.56,1,1
K2-180 b,K2-180,2018,8.867209,0.0753,2.3090539999999997,11.4408,731.0,5358.0,0.72,0.72,204.51,1,1
K2-181 b,K2-181,2018,6.894256,0.0706,2.835877,,962.0,5608.0,1.07,0.99,364.82,1,1
K2-182 b,K2-182,2018,4.7369683,0.0526,2.6901599999999997,20.0214,969.0,5165.0,0.8,0.88,155.9,1,1
K2-183 b,K2-183,2018,0.469269,0.0116,2.600488,,,5436.47,0.9685,0.95,329.041,3,1
K2-183 c,K2-183,2018,10.792635,0.0932,2.869504,,787.0,5436.47,0.9685,0.95,329.041,3,1
K2-183 d,K2-183,2018,22.631964,0.1527,2.858295,,615.0,5436.47,0.9685,0.95,329.041,3,1
K2-184 b,K2-184,2018,16.977959,0.1229,1.21606441,10.90054,580.0,5214.0,0.76,0.759,75.586,1,1
K2-185 b,K2-185,2018,10.616646,,1.311453,,,5788.0,0.94,0.96,268.357,2,1
K2-185 c,K2-185,2018,52.713494,0.2696,2.3897588,,477.0,5788.0,0.94,0.96,268.357,2,1
K2-186 b,K2-186,2018,41.474219,,3.1721469999999994,,,5784.0,0.98,1.02,333.84,1,1
K2-187 b,K2-187,2018,0.77392,0.0164,1.300244,,1815.0,5484.0,0.92,0.98,333.51,4,1
K2-187 c,K2-187,2018,2.872042,0.0392,1.804649,,1173.0,5484.0,0.92,0.98,333.51,4,1
K2-187 d,K2-187,2018,7.14921,0.072,3.1721469999999994,,865.0,5484.0,0.92,0.98,333.51,4,1
K2-187 e,K2-187,2018,13.609878,0.1106,2.376308,,698.0,5484.0,0.92,0.98,333.51,4,1
K2-188 b,K2-188,2018,1.742169,0.0289,1.3450799999999998,,1692.0,5977.0,1.19,1.06,452.9,2,1
K2-188 c,K2-188,2018,7.810253,0.0785,2.824668,,1026.0,5977.0,1.19,1.06,452.9,2,1
K2-189 b,K2-189,2018,2.588309,0.0361,1.524424,,1197.0,5519.0,0.87,0.94,243.93,2,1
K2-189 c,K2-189,2018,6.679195,0.068,2.499607,,872.0,5519.0,0.87,0.94,243.93,2,1
K2-18 b,K2-18,2015,32.939623,0.1429,2.365099,8.920646000000001,284.0,3457.0,0.41,0.36,38.07,2,1
K2-18 c,K2-18,2017,8.962,0.06,,,363.0,3457.0,0.41,0.36,38.07,2,1
K2-190 b,K2-190,2018,10.098858,,1.3562889999999999,,,5631.0,0.91,0.9,161.42,2,1
K2-190 c,K2-190,2018,21.574023,,1.098482,,,5631.0,0.91,0.9,161.42,2,1
K2-191 b,K2-191,2018,2.858646,,1.580469,,,5176.0,0.84,0.9,289.57,1,1
K2-192 b,K2-192,2018,4.162817,0.049,1.524424,,939.0,5222.0,0.81,0.9,223.99,1,1
K2-193 b,K2-193,2018,14.786889,0.1184,3.9455679999999997,,739.0,5817.0,0.98,1.01,416.91,1,1
K2-194 b,K2-194,2018,39.721386,,3.642925,,,5979.0,1.28,1.11,640.65,1,1
K2-195 b,K2-195,2018,15.852975,0.1208,3.127311,,720.0,5713.0,0.99,0.94,317.83,2,1
K2-195 c,K2-195,2018,28.482786,,2.57807,,,5713.0,0.99,0.94,317.83,2,1
K2-196 b,K2-196,2018,48.324222,,3.598089,,,6045.0,1.54,1.16,594.09,1,1
K2-197 Ab,K2-197 A,2018,8.357881,0.0806,2.555652,,848.0,5667.0,0.93,1.0,249.59,1,1
K2-198 b,K2-198,2018,17.0428683,0.09083,4.192166,,716.0,5212.9,0.76,0.8,110.91,3,1
K2-198 c,K2-198,2019,3.3596055,0.03077,1.423543,,1230.0,5212.9,0.76,0.8,110.91,3,1
K2-198 d,K2-198,2019,7.4500177,0.05234,2.443562,,943.0,5212.9,0.76,0.8,110.91,3,1
K2-199 b,K2-199,2018,3.2253993,0.0382,1.7295486999999998,6.896260000000001,913.0,4648.0,0.68,0.73,107.97,2,1
K2-199 c,K2-199,2018,7.3744897,0.0662,2.8504487000000003,12.3942,694.0,4648.0,0.68,0.73,107.97,2,1
K2-19 b,K2-19,2015,7.9193,0.074,7.745418999999999,32.38382,854.0,5430.0,0.86,0.93,292.14,3,1
K2-19 c,K2-19,2015,11.906,0.0971,4.864706,12.489540000000002,745.0,5430.0,0.86,0.93,292.14,3,1
K2-19 d,K2-19,2016,2.50856,0.0344,1.1433179999999998,9.8518,1252.0,5430.0,0.86,0.93,292.14,3,1
K2-200 Ab,K2-200 A,2018,2.849883,,1.3674979999999999,,,5233.0,0.79,0.86,185.09,1,1
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,2022,,4.18,,349.58000000000004,,,,0.584,5200.0,1,1
K2-201 b,K2-201,2018,1.05979,,1.401125,,,5507.0,0.88,0.96,199.05,2,1
K2-201 c,K2-201,2018,22.779878,,3.2842369999999996,,,5507.0,0.88,0.96,199.05,2,1
K2-202 Ab,K2-202 A,2018,3.405164,,2.2978449999999997,,,5406.0,0.91,0.97,300.397,1,1
K2-203 b,K2-203,2018,9.695101,,1.3674979999999999,,,5000.0,0.76,0.79,166.93,1,1
K2-204 b,K2-204,2018,7.055784,,3.048848,,,5755.0,1.18,1.01,586.87,1,1
K2-205 b,K2-205,2018,26.672263,,1.995202,,,5890.0,1.08,0.95,409.95,1,1
K2-206 Ab,K2-206 A,2018,18.294549,,2.791041,,,5066.0,0.794,0.85,244.443,1,1
K2-207 b,K2-207,2018,12.48749,,2.600488,,,5522.0,0.93,0.94,366.84,1,1
K2-208 b,K2-208,2018,4.190948,,1.68135,,,5582.0,0.86,0.93,258.76,1,1
K2-209 b,K2-209,2018,2.080615,,0.863093,,,4720.0,0.71,0.74,76.67,1,1
K2-210 b,K2-210,2018,0.570233,,0.8182569999999999,,,5396.0,0.85,0.91,177.39,1,1
K2-211 b,K2-211,2018,0.669558,,1.378707,,,5187.94,0.804,0.88,272.297,1,1
K2-212 b,K2-212,2018,9.795635,0.0785,2.6498076,,542.0,4272.0,0.65,0.67,109.32,1,1
K2-213 b,K2-213,2018,8.13087,,1.513215,,,5794.0,1.2,1.07,394.05,1,1
K2-214 b,K2-214,2018,8.596802,0.0834,2.432353,,1006.0,5854.0,1.27,1.05,303.28,1,1
K2-215 b,K2-215,2018,8.269648,,2.1185009999999997,,,5704.0,0.97,1.0,408.67,1,1
K2-216 b,K2-216,2018,2.1748,0.028,1.748604,7.999026000000001,1103.0,4503.0,0.72,0.7,115.84,1,1
K2-217 b,K2-217,2018,14.074524,,3.575671,,,5967.0,1.33,1.1,386.01,1,1
K2-218 Ab,K2-218 A,2018,8.679885,,2.566861,,,5710.0,1.058,1.02,394.083,1,1
K2-219 b,K2-219,2018,3.901287,,1.3450799999999998,,,5753.0,1.19,1.02,328.42,3,1
K2-219 c,K2-219,2018,6.66767,,1.434752,,,5753.0,1.19,1.02,328.42,3,1
K2-219 d,K2-219,2018,11.137278,,2.57807,,,5753.0,1.19,1.02,328.42,3,1
K2-21 b,K2-21,2015,9.00315,0.076,1.838276,1.9798940000000003,,4222.06,0.65,0.68,83.85,2,1
K2-21 c,K2-21,2015,15.0,0.107,2.488398,4.960858,,4222.06,0.65,0.68,83.85,2,1
K2-220 b,K2-220,2018,13.683256,0.1104,2.387517,,758.0,5660.0,1.02,0.96,234.92,1,1
K2-221 b,K2-221,2018,2.399094,,1.68135,,,5716.0,0.95,1.01,321.63,1,1
K2-222 b,K2-222,2018,15.3863,0.1211,2.409935,5.68862,878.0,6058.0,1.09,1.0,101.59,2,1
K2-222 c,K2-222,2026,141.22,0.521,,,396.0,6058.0,1.09,1.0,101.59,2,1
K2-223 b,K2-223,2018,0.50565,0.0127,0.8855109999999999,,2271.0,5835.0,0.99,1.06,201.1,2,1
K2-223 c,K2-223,2018,4.56327,0.0549,1.56926,,1091.0,5835.0,0.99,1.06,201.1,2,1
K2-224 b,K2-224,2018,4.47904,0.0516,1.558051,,1002.0,5620.0,0.84,0.91,277.7,2,1
K2-224 c,K2-224,2018,10.09489,0.0886,2.409935,,764.0,5620.0,0.84,0.91,277.7,2,1
K2-225 b,K2-225,2018,15.87209,0.134,3.485999,,902.0,5742.0,1.7,1.27,360.3,1,1
K2-226 b,K2-226,2018,3.27108,0.0413,1.535633,,1120.0,5424.0,0.91,0.88,211.2,1,1
K2-227 b,K2-227,2018,13.621832,,1.6701409999999999,,,5673.0,0.89,0.95,188.22,1,1
K2-228 Bb,K2-228 B,2018,2.69828,0.0338,1.210572,,914.0,4715.0,0.65,0.71,142.4,1,1
K2-229 b,K2-229,2018,0.58426,0.0131,1.1433179999999998,2.59007,1818.0,5315.0,0.79,0.87,103.8,3,1
K2-229 c,K2-229,2018,8.32727,0.0769,2.028829,21.292600000000004,750.0,5315.0,0.79,0.87,103.8,3,1
K2-229 d,K2-229,2018,31.0,0.182,2.6498076,25.1062,522.0,5315.0,0.79,0.87,103.8,3,1
K2-22 Ab,K2-22 A,2015,0.381078,0.0088,2.499607,444.92,2100.0,3830.0,0.57,0.6,245.53,1,1
K2-230 b,K2-230,2018,2.86041,0.0409,1.9615749999999998,,1529.0,5945.0,1.39,1.11,548.9,1,1
KIC 3338660 (AB)b,KIC 3338660 (AB),2016,752.0,2.07,,,,6005.26,2.391,1.45,346.353162,1,1
K2-231 b,K2-231,2018,13.841901,,2.499607,7.214060000000001,,5695.0,0.95,1.01,295.0,1,1
K2-232 Ab,K2-232 A,2018,11.168454,0.10356,11.209,126.48440000000001,1030.0,6154.0,1.16,1.19,131.21,1,1
K2-233 b,K2-233,2018,2.46746,0.03317,1.401125,3.30512,1040.0,4950.0,0.74,0.8,67.64,3,1
K2-233 c,K2-233,2018,7.06142,0.06687,1.3338709999999998,,728.0,4950.0,0.74,0.8,67.64,3,1
K2-233 d,K2-233,2018,24.3662,0.1527,2.6453239999999996,8.294580000000002,482.0,4950.0,0.74,0.8,67.64,3,1
K2-236 b,K2-236,2018,19.49221,0.1493,5.761426,27.013,817.0,6069.0,1.39,1.17,182.69,1,1
K2-237 Ab,K2-237 A,2018,2.1805577,0.0353,18.405178,392.80080000000004,1838.0,6180.0,1.236,1.256,315.0,1,1
K2-238 b,K2-238,2018,3.20466,0.046,14.5717,273.308,1587.0,5630.0,1.59,1.19,453.0,1,1
K2-239 b,K2-239,2018,5.24,0.0441,1.098482,1.3983200000000002,502.0,3420.0,0.36,0.4,49.0,3,1
K2-239 c,K2-239,2018,7.775,0.0576,0.997601,0.8898400000000001,427.0,3420.0,0.36,0.4,49.0,3,1
K2-239 d,K2-239,2018,10.115,0.0685,1.098482,1.3029800000000002,399.0,3420.0,0.36,0.4,49.0,3,1
K2-240 b,K2-240,2018,6.034,0.0513,1.995202,4.989459999999999,586.0,3810.0,0.54,0.58,70.0,2,1
K2-240 c,K2-240,2018,20.523,0.1159,1.804649,4.6081,389.0,3810.0,0.54,0.58,70.0,2,1
K2-241 b,K2-241,2018,26.8199,0.1567,2.544443,,507.0,5262.0,0.75,0.71,149.6,1,1
K2-242 b,K2-242,2018,6.51389,0.0494,2.544443,,416.0,3459.0,0.37,0.38,109.6,1,1
K2-243 b,K2-243,2018,11.54182,0.1087,2.174546,,1035.0,6570.0,1.39,1.29,269.2,2,1
K2-243 c,K2-243,2018,24.94598,0.1817,2.006411,,801.0,6570.0,1.39,1.29,269.2,2,1
K2-244 b,K2-244,2018,21.06884,0.1418,1.748604,,638.0,5677.0,0.92,0.86,214.0,1,1
K2-245 Ab,K2-245 A,2018,11.89307,0.0959,4.337883,,923.0,5793.0,1.25,0.83,463.4,1,1
K2-246 b,K2-246,2018,5.76918,0.0602,3.485999,,977.0,5610.0,0.94,0.87,723.1,1,1
K2-247 Ab,K2-247 A,2018,2.25021,0.0304,2.1185009999999997,,979.0,4667.0,0.69,0.74,260.2,2,1
K2-247 Ac,K2-247 A,2018,6.49424,0.0615,2.185755,,688.0,4667.0,0.69,0.74,260.2,2,1
K2-248 b,K2-248,2018,7.17256,0.0699,2.566861,,886.0,5528.0,0.92,0.88,410.5,1,1
K2-249 Ab,K2-249 A,2018,12.409,0.1151,2.791041,,1061.0,6504.0,1.57,1.32,528.3,1,1
K2-24 b,K2-24,2016,20.88257,0.1673,5.638014910000001,18.998084000000002,732.0,5726.0,1.185,1.091,170.5,2,1
K2-24 c,K2-24,2016,42.34732,0.262,7.9303675,16.39848,591.0,5726.0,1.185,1.091,170.5,2,1
K2-250 b,K2-250,2018,4.01457,0.0459,2.443562,,958.0,5172.0,0.81,0.8,417.6,1,1
