pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1603 b,Kepler-1603,2016,2.27163926,,1.289035,,,6241.0,1.31,1.21,1751.0,1,1
Kepler-1604 b,Kepler-1604,2016,0.68368426,,1.412334,,,4976.0,0.76,0.81,562.0,1,1
Kepler-1605 b,Kepler-1605,2016,85.7565495,,1.076064,,,5280.0,0.82,0.86,224.0,1,1
Kepler-1606 b,Kepler-1606,2016,196.435224,,2.073665,,,5422.0,0.86,0.9,880.0,1,1
Kepler-1607 b,Kepler-1607,2016,13.6473676,,0.919138,,,6116.0,1.21,1.14,735.0,1,1
Kepler-1608 b,Kepler-1608,2016,16.4735686,,1.726186,,,4992.0,0.72,0.75,832.0,1,1
Kepler-1609 b,Kepler-1609,2016,114.34219,,2.219382,,,6132.0,1.27,1.18,1483.0,1,1
Kepler-160 b,Kepler-160,2014,4.309397,0.05511,1.714977,,,5471.0,1.12,,962.92,3,1
Kepler-160 c,Kepler-160,2014,13.699429,0.1192,3.755015,,,5471.0,1.12,,962.92,3,1
Kepler-160 d,Kepler-160,2020,30.0,0.17,,99.98941400000001,,5471.0,1.12,,962.92,3,1
Kepler-1610 b,Kepler-1610,2016,8.70181574,,1.6140959999999998,,,5383.0,0.87,0.91,1063.0,2,1
Kepler-1610 c,Kepler-1610,2023,44.98529816,0.2323,2.0904785,,433.0,5383.0,0.87,0.91,1063.0,2,1
Kepler-1611 Ab,Kepler-1611 A,2016,5.1762429,,0.8070479999999999,,,5605.0,0.93,0.94,686.0,1,1
Kepler-1612 b,Kepler-1612,2016,3.91795101,,1.031228,,,5643.0,0.94,0.96,837.0,1,1
Kepler-1613 b,Kepler-1613,2016,1.5184299,,2.084874,,,6005.0,1.12,1.08,855.0,1,1
Kepler-1614 b,Kepler-1614,2016,3.9466141,,1.490797,,,5121.0,0.76,0.79,982.0,1,1
Kepler-1615 b,Kepler-1615,2016,47.3126192,,2.062456,,,5670.0,1.622,1.01,1393.83,1,1
Kepler-1616 b,Kepler-1616,2016,6.76284377,,1.020019,,,6266.0,1.34,1.21,862.0,1,1
Kepler-1617 b,Kepler-1617,2016,27.4785572,,1.199363,,,6167.0,1.22,1.15,813.0,1,1
Kepler-1618 b,Kepler-1618,2016,6.10826019,,1.255408,,,6620.0,1.65,1.41,1238.0,1,1
Kepler-1619 b,Kepler-1619,2016,23.6225913,,0.762212,,,5852.0,1.0,1.0,520.0,1,1
Kepler-161 b,Kepler-161,2014,4.921355,0.054,2.1185009999999997,,,4992.0,0.7993,0.827,434.632,2,1
Kepler-161 c,Kepler-161,2014,7.06424,0.068,2.051247,,,4992.0,0.7993,0.827,434.632,2,1
Kepler-1620 Ab,Kepler-1620 A,2016,101.951829,,1.6140959999999998,,,6157.0,1.23,1.15,773.0,1,1
Kepler-1621 b,Kepler-1621,2016,92.263714,,2.163337,,,6158.0,1.24,1.15,1461.0,1,1
Kepler-1622 b,Kepler-1622,2016,10.8118737,,1.468379,,,6436.0,1.5,1.31,927.0,1,1
Kepler-1623 b,Kepler-1623,2016,4.36128348,,1.311453,,,5772.0,1.0,1.0,986.0,1,1
Kepler-1624 b,Kepler-1624,2016,3.290314,0.0327,6.589771099999999,,540.0,3768.0,0.552,0.541,258.979,1,1
Kepler-1625 b,Kepler-1625,2016,287.378949,,6.064069,3686.48,,5677.0,0.94,0.96,1213.0,1,1
Kepler-1626 b,Kepler-1626,2016,4.13962966,,2.01762,,,6826.0,1.85,1.51,1718.0,1,1
Kepler-1627 Ab,Kepler-1627 A,2016,7.20283653,,3.687761,,,5445.0,0.84,0.87,311.0,1,1
Kepler-1631 b,Kepler-1631,2016,4.09513932,,1.3450799999999998,,,5679.0,0.95,0.97,1190.0,1,1
Kepler-1628 Ab,Kepler-1628 A,2016,76.377855,0.2952,6.2804027,,240.0,3869.0,0.584,0.587,352.0,1,1
Kepler-1629 b,Kepler-1629,2016,3.87595807,,0.773421,,,5776.0,1.01,1.01,390.0,1,1
Kepler-162 b,Kepler-162,2014,6.919798,0.069,1.255408,,,5743.0,1.208,1.03,855.641,2,1
Kepler-162 c,Kepler-162,2014,19.446355,0.137,3.02643,,,5743.0,1.208,1.03,855.641,2,1
Kepler-1630 b,Kepler-1630,2015,509.997402,1.1218,2.6195432999999997,,182.0,4689.0,0.72,0.748,331.213,1,1
Kepler-1632 b,Kepler-1632,2016,224.150923,0.6762,2.409935,,369.0,5979.67,1.487,1.1,716.76,1,1
Kepler-1633 b,Kepler-1633,2016,186.404271,,1.580469,,,6256.0,1.32,1.2,811.0,1,1
Kepler-1634 b,Kepler-1634,2016,374.876239,,3.1945649999999994,,,5474.0,0.89,0.92,654.0,1,1
Kepler-1635 b,Kepler-1635,2016,469.63111,,3.642925,,,5347.0,0.85,0.89,1084.0,1,1
Kepler-1636 b,Kepler-1636,2016,425.47785,,3.2281919999999995,,,5797.0,1.02,1.01,1567.0,1,1
Kepler-1637 b,Kepler-1637,2016,6.10960324,,0.8855109999999999,,,5789.0,1.02,1.02,506.0,1,1
Kepler-1638 b,Kepler-1638,2016,259.33683,,1.871903,,,5710.0,0.95,0.97,879.0,1,1
Kepler-1639 b,Kepler-1639,2016,9.878482,,2.57807,,,6150.0,1.18,1.12,1168.0,1,1
Kepler-163 b,Kepler-163,2014,7.810937,0.078,1.0536459999999999,,,5410.9,0.97,0.94,689.814,2,1
Kepler-163 c,Kepler-163,2014,21.347262,0.152,2.264218,,,5410.9,0.97,0.94,689.814,2,1
Kepler-1640 b,Kepler-1640,2016,7.5844126,,4.81987,,,6324.0,1.43,1.27,1379.0,1,1
Kepler-1641 b,Kepler-1641,2016,19.672266,,3.104893,,,6152.0,1.19,1.12,961.0,2,1
Kepler-1641 c,Kepler-1641,2016,32.657212,,2.9479670000000002,,,6152.0,1.19,1.12,961.0,2,1
Kepler-1642 b,Kepler-1642,2016,12.2057513,,3.1945649999999994,,,5355.0,0.84,0.88,447.0,2,1
Kepler-1642 c,Kepler-1642,2016,6.6513802,,2.6565329999999996,,,5355.0,0.84,0.88,447.0,2,1
