pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,pl_dens,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-408 b,Kepler-408,1,1,0,0,Transit,2014,2.46502,0.03592,0.82,0.073,5.0,0.01573168,0.0,1503.581,1561.0,,87.51,6104.0,1.23,1.08,-0.2,4.294,6.68,0.82,88.7832,8.834,7.486,8.6992
Kepler-1542 b,Kepler-1542,1,4,0,0,Transit,2016,3.95116882,0.04765,0.76,0.06780266,0.363,0.00114,0.0,518.437,1160.0,4.54,88.05,5564.0,0.99,0.94,0.06,4.41,8.51,0.58,399.114,12.734,10.989,12.5876
Kepler-288 b,Kepler-288,1,3,0,0,Transit,2014,6.097326,0.065,1.67,0.149,3.43,0.0108,0.0,247.301,1197.0,4.05,89.95,5918.0,1.091,0.842,-0.24,4.353,12.3,0.8,1194.15,15.283,13.587,15.152
K2-377 b,K2-377,1,1,0,0,Transit,2022,12.832235,,1.693,0.1510396,3.51,0.011,,,,3.97,,4200.0,0.691,0.821,-0.008,4.673,,2.794403,195.149,14.107,10.994,13.5859
HATS-74 A b,HATS-74 A,2,1,0,0,Transit,2021,1.73185606,0.02384,11.56766808,1.032,464.02947422,1.46,0.044,106.9,895.1,1.64,87.39,3776.9,0.5758,0.601,0.514,4.696,11.0,4.43,299.389,17.26,12.361,15.9837
XO-3 b,XO-3,1,1,0,0,Transit,2007,3.19152309,0.04815,14.79585452,1.32,4217.58296089,13.27,0.2791,1161.72,1890.0,7.16,83.66,6970.0,1.523,1.449,-0.159,4.234,0.97,0.578,213.053,9.854,8.791,9.73889
Kepler-1866 b,Kepler-1866,1,1,0,0,Transit,2021,11.66009998,0.1016,2.08215108,0.1857574,4.99,0.0157,0.0,114.36,834.0,3.04,76.07,5791.0,1.083,1.03,0.16,4.381,0.3,0.00949,976.737,14.418,12.877,14.366
K2-165 d,K2-165,1,3,0,0,Transit,2018,14.101361,,2.64809498,0.23624721,7.5,0.0236,,37.0819,629.38,2.22,89.0019,5185.0,0.803827,0.834847,-0.05,4.46,,2.082412,134.591,11.332,9.536,11.3272
Kepler-796 b,Kepler-796,1,1,0,0,Transit,2016,6.40087618,0.07317,1.3,0.11597823,2.24,0.00705,0.0,962.264,1109.0,5.6,85.17,5475.0,1.09,0.93,0.09,4.33,11.75,0.1,817.584,13.175,11.074,12.9866
Kepler-336 d,Kepler-336,1,3,0,0,Transit,2014,20.678772,0.154,2.37,0.211,6.21,0.0195,0.0,74.36,749.0,2.56,88.55,5867.0,1.304,1.09,0.337,4.264,4.9,1.04528,768.86,13.677,12.144,13.5839
TOI-4479 b,TOI-4479,1,1,0,0,Transit,2022,1.1589,0.0164,2.82,0.25158398,8.35,0.0263,,92.5,861.0,2.05,86.36,3400.0,0.451,0.452,0.0,4.5,,7.621324,80.6532,15.18,10.647,14.1309
Kepler-1928 b,Kepler-1928,1,1,0,0,Transit,2021,19.57783,0.194,1.992,0.17771464,4.63,0.0146,0.43,37.8,621.0,3.22,88.92,5720.0,0.92,1.01,0.12,4.533,0.105,1.832774,326.362,12.679,11.107,12.6182
EPIC 206024342 b,EPIC 206024342,1,3,0,0,Transit,2019,4.50756,,1.7,0.15166384,3.53,0.0111,,,,3.95,,5724.0,0.823,0.928,-0.22,4.5,,2.382804,369.888,13.096,11.487,12.9682
HATS-26 b,HATS-26,1,1,0,0,Transit,2016,3.3023881,0.04735,19.61575,1.75,206.5895,0.65,0.245,2236.5716,1918.0,0.153,86.2,6071.0,2.04,1.299,-0.02,3.936,4.04,0.218,861.843,13.006,11.435,12.8431
K2-221 b,K2-221,1,1,0,0,Transit,2018,2.399094,,1.67890272,0.14978167,3.46,0.0109,,,,4.02,85.44711,5716.0,0.947599,1.010842,0.13,4.57,,1.285883,318.81,12.571,10.852,12.4149
HATS-55 b,HATS-55,1,1,0,0,Transit,2019,4.2042001,0.05412,14.022459,1.251,292.72143,0.921,0.092,355.909,1367.0,0.587,86.32,6214.0,1.126,1.1955,0.108,4.4121,0.4,1.179,609.838,13.525,12.02,13.3498
Kepler-1131 b,Kepler-1131,1,1,0,0,Transit,2016,3.53232449,0.0459,1.59,0.1418503,3.15,0.00993,0.0,453.142,1159.0,4.31,88.19,5851.0,1.04,1.03,0.05,4.42,4.17,1.41165,1030.7,15.01,13.416,14.9375
TOI-669 b,TOI-669,1,1,0,0,Transit,2023,3.945152,0.048,2.58606487,0.23071365,10.0,0.03146352,0.0,388.2,1124.85,3.17,85.78281,5597.0,0.9882,0.9245,0.001,4.412,7.9,1.34,142.867,10.606,9.134,10.6364
WASP-184 b,WASP-184,1,1,0,0,Transit,2019,5.1817,0.0627,14.90797,1.33,181.1631,0.57,0.0,669.018,1480.0,0.32,86.9,6000.0,1.65,1.23,0.12,4.09,4.7,0.38,663.231,12.771,11.262,12.5673
K2-138 d,K2-138,1,6,0,0,Transit,2017,5.40479,0.05893,2.39,0.21322152,7.92,0.02491898,0.043,160.0,888.0,3.1,89.0,5356.3,0.863,0.935,0.14,4.54,2.8,2.064,202.585,12.246,10.305,12.0252
HIP 48714 b,HIP 48714,1,1,0,0,Radial Velocity,2020,17.818,0.112,5.11,0.456,22.9,0.0720511,0.5,5.5708,446.47,0.943,,4015.5,0.595456,0.58,,4.65505,,3.902131,10.5298,8.99,5.2,8.22861
HAT-P-62 b,HAT-P-62,1,1,0,0,Transit,2021,2.6453235,0.03772,12.02723629,1.073,241.86741773,0.761,0.101,867.2,1512.0,0.77,87.93,5629.0,1.17,1.023,0.414,4.312,8.1,0.901,348.815,12.539,10.701,12.4362
KIC 7917485 b,KIC 7917485,1,1,0,0,Pulsation Timing Variations,2016,840.0,,12.4,1.1,3750.394,11.8,0.15,,,10.8,,7067.0,2.009938,1.63,-0.02,4.0,,0.232276,1382.89,13.166,12.111,13.1092
Kepler-105 c,Kepler-105,1,2,0,0,Transit,2014,7.12592,0.07229,1.44,0.12846842,5.6,0.01761957,0.02,236.167,997.0,10.4,84.02,5933.0,1.026,0.991,-0.09,4.43197,4.27,0.92,459.223,12.981,11.503,12.8025
