pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
TOI-697 b,TOI-697,1,1,1,0,0,2026.0,0,8.60788713593,,2.35859364,0.21041999,,,,,,5681.95,0.968149,,4.4989,93.7714
TOI-700 b,TOI-700,1,1,4,0,0,2020.0,0,9.977219,0.0677,0.914,0.08154176,,,,4.98,417.0,3459.0,0.421,0.415,4.809,31.1265
TOI-700 c,TOI-700,1,1,4,0,0,2020.0,0,16.051137,0.0929,2.6,0.23195686,,,,2.64,356.0,3459.0,0.421,0.415,4.809,31.1265
TOI-700 d,TOI-700,1,1,4,0,0,2020.0,0,37.42396,0.1633,1.073,0.09572681,,,,0.85,269.0,3459.0,0.421,0.415,4.809,31.1265
TOI-700 e,TOI-700,1,1,4,0,0,2023.0,0,27.80978,0.134,0.953,0.08502111,,,,1.27,,3459.0,0.421,0.415,4.809,31.1265
TOI-7008 b,TOI-7008,1,1,1,0,0,2026.0,0,0.84069041367,,4.94735276,0.44137401,,,,,,5116.06,0.95255,,4.4731,410.467
TOI-7009 b,TOI-7009,1,1,1,0,0,2026.0,0,2.3206612,0.0287,3.71,0.3309846,,,,,872.0,4080.0,0.564,0.583,4.63,184.12
TOI-7041 b,TOI-7041,1,1,1,0,0,2025.0,0,9.691,,11.43316031,1.02,114.41822652,0.36,Mass,,,4700.0,4.1,1.07,3.244,439.52
TOI-712 b,TOI-712,1,1,3,0,0,2022.0,0,9.531361,0.07928,2.049,0.18279985,,,,22.6,650.0,4622.0,0.674,0.732,4.645,58.6212
TOI-712 c,TOI-712,1,1,3,0,0,2022.0,0,51.69906,0.2447,2.701,0.24096749,,,,3.08,369.9,4622.0,0.674,0.732,4.645,58.6212
TOI-712 d,TOI-712,1,1,3,0,0,2022.0,0,84.8396,0.3405,2.474,0.22071588,,,,1.6,313.6,4622.0,0.674,0.732,4.645,58.6212
TOI-7149 b,TOI-7149,1,1,1,0,0,2025.0,0,2.65206166,0.02603,13.2,1.18,224.0,0.705,Mass,20.6,593.0,3363.0,0.351,0.344,4.88,126.126
TOI-715 b,TOI-715,1,1,1,0,0,2023.0,0,19.288004,0.083,1.55,0.13828198,,,,0.67,234.0,3075.0,0.24,0.225,5.0,42.4048
TOI-7155 b,TOI-7155,1,1,1,0,0,2026.0,0,3.89489711981,,2.40821473,0.2148469,,,,,,4673.03,0.670748,,4.6133,144.751
TOI-7166 b,TOI-7166,1,1,1,0,0,2025.0,0,12.92063621,0.06191,2.01,0.1793205,,,,1.07,249.0,3099.0,0.222,0.19,5.02,35.4153
TOI-733 b,TOI-733,1,1,1,0,0,2023.0,0,4.884765,0.0618,1.992,0.17771464,5.72,0.01799713,Mass,207.1,1055.8,5585.0,0.949,0.956,4.47,75.2092
TOI-7333 b,TOI-7333,1,1,1,0,0,2026.0,0,6.26449803661,,2.09469416,0.18687642,,,,,,4586.87,0.666066,,4.6451,157.217
TOI-7384 b,TOI-7384,1,1,1,0,0,2026.0,0,6.2340258,0.0439,3.56,0.318,,,,4.9,378.0,3185.0,0.319,0.318,4.93,66.7902
TOI-7510 b,TOI-7510,1,1,3,0,0,2025.0,0,11.530869,0.1019,7.31,0.652,18.1,0.0571,Mass,,878.0,5720.0,1.035,1.063,4.439,249.006
TOI-7510 c,TOI-7510,1,1,3,0,0,2025.0,0,22.5687423,0.1595,10.81,0.964,131.0,0.412,Mass,,702.0,5720.0,1.035,1.063,4.439,249.006
TOI-7510 d,TOI-7510,1,1,3,0,0,2025.0,0,48.864468,0.2672,10.52,0.939,190.0,0.597,Mass,,542.4,5720.0,1.035,1.063,4.439,249.006
TOI-756 b,TOI-756,1,1,2,0,0,2025.0,0,1.2392495,0.018,2.81,0.25069184,9.83,0.03092864,Mass,127.0,934.0,3657.0,0.505,0.505,4.735,86.1759
TOI-756 c,TOI-756,1,1,2,0,0,2025.0,0,149.4,0.439,,,1287.20504835,4.05,Msini,0.24,194.0,3657.0,0.505,0.505,4.735,86.1759
TOI-757 b,TOI-757,1,1,1,0,0,2024.0,0,17.46819,0.122,2.5,0.22303545,10.5,0.03303669,Mass,,641.0,5278.0,0.78,0.8,4.5,60.3418
