pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
BD+20 274 b,BD+20 274,1,1,1,0,0,2012,0,578.2,1.3,,,1334.886,4.2,Msini,,,4296.0,17.3,0.8,1.99,1322.51
BD+20 594 b,BD+20 594,1,1,1,0,0,2016,0,41.6855,0.2226,2.57807,0.23,22.2481,0.07,Mass,,613.0,5766.0,1.08,1.67,4.5,179.461
BD+37 3172 b,BD+37 3172,1,1,1,0,0,2023,0,1887.76,4.65,,,3368.9811142,10.6,Msini,,,4500.0,50.24,3.75,1.5,454.251
BD+42 2315 b,BD+42 2315,1,1,1,0,0,2023,0,123.05,0.54,,,174.80562385,0.55,Msini,,,4500.0,17.85,1.38,2.0,610.715
BD+45 564 b,BD+45 564,1,1,1,0,0,2021,0,307.88,0.83,,,432.24663352,1.36,Msini,,,5004.0,,0.81,4.22,53.622
BD+48 738 b,BD+48 738,1,1,1,0,0,2011,0,392.6,1.0,,,289.2253,0.91,Msini,,,4414.0,11.0,0.74,2.24,871.493
BD+48 740 b,BD+48 740,1,1,1,0,0,2018,0,733.0,1.7,,,540.311,1.7,Msini,,,4534.0,10.33,1.09,2.48,666.589
BD+49 828 b,BD+49 828,1,1,1,0,0,2015,0,2590.0,4.2,,,508.5,1.6,Msini,,,4943.0,7.6,1.52,2.85,442.042
BD+55 362 b,BD+55 362,1,1,1,0,0,2021,0,265.59,0.78,,,228.83645304,0.72,Msini,,,5012.0,,0.909,4.09,52.5697
BD+60 1417 b,BD+60 1417,1,1,1,0,0,2021,0,,1662.0,14.68376472,1.31,4767.426105,15.0,Mass,,1303.0,4993.0,0.797,1.0,4.5539,44.9543
BD+63 1405 b,BD+63 1405,1,1,1,0,0,2021,0,1198.48,2.06,,,1258.60049172,3.96,Msini,,,5000.0,,0.816,4.2,38.0473
BD-06 1339 c,BD-06 1339,1,1,2,0,0,2013,0,125.94,0.435,,,53.0,0.17,Msini,,,4324.0,,0.7,4.74,20.2695
BD-08 2823 b,BD-08 2823,1,1,2,0,0,2009,0,5.6,0.06,,,12.7132,0.04,Msini,,,4816.0,0.71,0.5,4.43,41.3342
BD-08 2823 c,BD-08 2823,1,1,2,0,0,2009,0,237.6,0.68,,,104.0,0.33,Msini,,,4746.0,,0.74,4.13,41.3342
BD-10 3166 b,BD-10 3166,1,1,1,0,0,2000,0,3.48777,0.04,11.54527,,187.5197,0.59,Msini,,,5393.0,0.91,1.47,4.69,84.4069
BD-11 4672 b,BD-11 4672,1,1,2,0,0,2014,0,1634.0,2.36,,,206.5895,0.65,Msini,,,4550.0,0.639,0.651,4.642,27.1665
BD-11 4672 c,BD-11 4672,1,1,2,0,0,2020,0,74.2,0.3,,,15.37,0.04835919,Msini,,,4550.0,0.639,0.651,4.642,27.1665
BD-13 2130 b,BD-13 2130,1,1,1,0,0,2007,0,714.29999,1.66,,,3108.3774,9.78,Msini,,,4545.0,19.17,2.12,2.2,925.214
BD-14 3065 b,BD-14 3065 A,1,3,1,0,0,2024,0,4.2889731,0.0656,21.59,1.926,3932.0,12.37,Mass,,2001.0,6935.0,2.35,1.41,3.85,589.423
BD-17 63 b,BD-17 63,1,1,1,0,0,2008,0,655.57,1.34,,,1639.99458012,5.16,Mass,,,4714.0,0.69,0.741,,34.4603
BD-210397 b,BD-210397,1,1,2,0,0,2023,0,1891.0,2.63,,,214.0,0.7,Msini,0.02,,4051.0,0.747,0.679,4.67,23.7324
BD-210397 c,BD-210397,1,1,2,0,0,2023,0,6240.0,5.9,,,1525.5763536,4.8,Mass,,,,,0.69,,23.7324
