pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
K2-219 b,K2-219,1,1,3,0,0,2018,0,3.90128700000,,1.34762583,0.12022712,,,,,,5753.00,1.189232,1.021545,4.230000,325.40000000
K2-219 c,K2-219,1,1,3,0,0,2018,0,6.66767000000,,1.43839723,0.12832521,,,,,,5753.00,1.189232,1.021545,4.230000,325.40000000
K2-219 d,K2-219,1,1,3,0,0,2018,0,11.13727800000,,2.57634456,0.22984607,,,,,,5753.00,1.189232,1.021545,4.230000,325.40000000
K2-22 b,K2-22,1,2,1,0,0,2015,0,0.38107300000,,2.30000000,0.20519261,,,,,,3879.00,0.580000,,4.700000,243.83600000
K2-220 b,K2-220,1,1,1,0,0,2018,0,13.68186000000,,2.37000000,0.21143760,,,,79.7000,761.00,5612.00,1.026000,0.910000,4.450000,233.51400000
K2-221 b,K2-221,1,1,1,0,0,2018,0,2.39909400000,,1.67890272,0.14978167,,,,,,5716.00,0.947599,1.010842,4.570000,318.81000000
K2-222 b,K2-222,1,1,1,0,0,2018,0,15.38892740000,0.1186000000,2.27500000,0.20296226,7.50000000,0.02359764,Mass,,803.00,5942.00,1.072000,0.940000,4.350000,101.32100000
K2-223 b,K2-223,1,1,2,0,0,2018,0,0.50557000000,,0.89000000,0.07940062,,,,,,5859.00,1.000000,,4.500000,198.60400000
K2-223 c,K2-223,1,1,2,0,0,2018,0,4.56254600000,,1.50000000,0.13382127,,,,,,5859.00,1.000000,,4.500000,198.60400000
K2-224 b,K2-224,1,1,2,0,0,2018,0,4.47904000000,0.0516000000,1.56000000,0.13917388,,,,,1002.00,5620.00,0.840000,0.910000,4.550000,275.25500000
K2-224 c,K2-224,1,1,2,0,0,2018,0,10.09489000000,0.0886000000,2.41000000,0.21500580,,,,,764.00,5620.00,0.840000,0.910000,4.550000,275.25500000
K2-225 b,K2-225,1,1,1,0,0,2018,0,15.87230000000,0.1409000000,3.60929179,0.32200000,,,,,923.00,5520.00,1.700000,1.482000,4.148000,357.77800000
K2-226 b,K2-226,1,1,1,0,0,2018,0,3.27109000000,0.0409500000,1.53899305,0.13730000,,,,,1187.00,5288.00,0.889000,0.856000,4.473000,211.26500000
K2-227 b,K2-227,1,1,1,0,0,2018,0,13.62183200000,,1.66551298,0.14858712,,,,,,5673.00,0.890666,0.950811,4.580000,187.23400000
K2-228 b,K2-228,1,1,1,0,0,2018,0,2.69828000000,0.0338000000,1.21000000,0.10794897,,,,,914.00,4715.00,0.650000,0.710000,4.660000,129.46000000
K2-229 b,K2-229,1,1,2,0,0,2018,0,0.58421600000,,1.00000000,0.08921418,,,,,,5315.00,0.790000,,4.600000,102.56400000
